program_title,unique_users,content_count,device_name,country_code,product_type
Robinson Ekspeditionen,3434,3515,ios,dk,svod
Paradise Hotel Sverige,3293,3419,ios,se,svod
PAW Patrol,2252,2873,atv,se,svod
Love Island Norge,2000,2080,pcdash,no,svod
The Fosters,1749,2053,ios,dk,svod
Peppa Pig,1654,3648,ios,dk,svod
Family Guy,1567,2399,pcdash,se,svod
Til Middag Hos,1432,1498,ios,dk,svod
Coco,1335,1338,ios,dk,svod
Lethal Weapon,1282,1451,pcdash,dk,svod
South Park,1280,1898,pcdash,se,svod
NCIS,1225,1475,ios,dk,svod
Barclays Premier League Football Live,1216,1223,ios,se,svod
The Walking Dead,1165,1332,ios,dk,svod
Scrubs,1113,1521,pcdash,se,svod
S.W.A.T.,1001,1082,pcdash,se,svod
The Thundermans,972,1248,ios,dk,svod
How I Met Your Mother,918,1341,pcdash,se,svod
Fireman Sam,864,1295,atv,se,svod
Ingen utan skuld,843,863,atv,se,svod
Seinfeld,832,1148,ios,se,svod
Blaze and the Monster Machines,766,895,atv,se,svod
American Dad,755,1271,pcdash,se,svod
Charterfeber,743,791,atv,no,svod
Forsidefruer,730,787,ios,dk,svod
Empire,721,801,pcdash,se,svod
Frasier,718,1060,ios,dk,svod
Vikings,705,776,pcdash,dk,svod
The Blacklist,689,778,ios,se,svod
KHL,652,657,androiddash,fi,svod
Victorious,644,824,ios,dk,svod
Bones,642,807,pcdash,dk,svod
Futurama,608,887,pcdash,se,svod
Dora the Explorer,598,727,ios,se,svod
SpongeBob SquarePants,595,757,ios,se,svod
Blindspot,584,652,ios,se,svod
iCarly,571,757,ios,dk,svod
Luksusfælden,528,598,ios,dk,svod
Nashville,524,613,ios,no,svod
Paradise Hotel Danmark,511,650,ios,dk,svod
Glee,484,561,pcdash,dk,svod
Familien fra Bryggen,483,571,ios,dk,svod
Henry Danger,479,576,ios,dk,svod
Will & Grace,478,706,ios,dk,svod
Hånd i hånd,455,462,ios,dk,svod
Big Time Rush,441,546,ios,dk,svod
NFL Live,429,433,ios,se,svod
Poketto Monsutā,425,530,ios,se,svod
The Good Doctor,414,465,ios,se,svod
Postman Pat: Special Delivery Service,383,477,chromecast,dk,svod
Superliga Live,371,374,ios,dk,svod
It's Always Sunny in Philadelphia,362,528,pcdash,se,svod
Outlander,357,396,ios,se,svod
NHL Live,335,335,pcdash,fi,svod
Unga Mammor,334,383,atv,se,svod
Svenska Hollywoodfruar,331,349,ios,se,svod
Teenage Mutant Ninja Turtles,326,397,ios,se,svod
NCIS: Los Angeles,325,376,ios,se,svod
"Nicky, Ricky, Dicky & Dawn",317,393,ios,se,svod
Ray Donovan,310,344,pcdash,se,svod
The X-Files,305,358,pcdash,dk,svod
Beyond,303,335,ios,se,svod
Quantico,299,345,chromecast,dk,svod
New Amsterdam,295,296,pcdash,dk,svod
Animal Kingdom,288,319,pcdash,se,svod
Hemliga beundrare,283,289,ios,se,svod
Gossip Girl,256,295,pcdash,dk,svod
Shimmer and Shine,253,294,ios,se,svod
The Penguins of Madagascar,248,311,ios,dk,svod
Bob's Burgers,246,382,pcdash,se,svod
The Haunted Hathaways,244,298,ios,se,svod
Prison Break,235,264,pcdash,dk,svod
Community,232,331,pcdash,se,svod
Sam & Cat,231,299,ios,dk,svod
Wind River,230,230,ios,se,svod
White Collar,227,281,pcdash,dk,svod
Billions,224,231,ios,se,svod
King of the Hill,223,350,pcdash,se,svod
Soy Luna,223,239,ios,dk,svod
The Amazing World of Gumball,220,291,ios,se,svod
Dora and Friends: Into the City!,215,262,ios,se,svod
Team Umizoomi,208,238,ios,se,svod
Tinker Bell,206,207,ios,se,svod
Jessie,205,241,ios,se,svod
Masha i Medved,205,314,atv,se,svod
Unikitty!,197,227,ios,se,svod
The Cleveland Show,195,295,pcdash,dk,svod
Bella and the Bulldogs,193,240,ios,se,svod
Only The Brave,192,192,pcdash,se,svod
The Good Wife,192,227,ios,se,svod
The Affair,191,214,ios,se,svod
Deadpool 2,191,193,pcdash,se,tvod
Paradise Hotel Norge,189,208,ios,se,svod
24,189,226,pcdash,se,svod
Love Island UK,188,219,pcdash,dk,svod
Sunny Bunnies,187,393,ios,se,svod
Lego City,184,316,atv,se,svod
Ben 10,178,227,ios,se,svod
The Brave,174,186,pcdash,se,svod
Black-ish,172,241,pcdash,se,svod
Last Man Standing,171,240,ios,no,svod
Borg,171,171,ios,se,svod
Fantasten,169,169,ios,dk,svod
Vår tid är nu,166,171,ios,se,svod
Lyxfällan,164,173,atv,se,svod
Liv and Maddie,157,193,ios,dk,svod
Care Bears: Welcome to Care-a-Lot,152,177,ios,se,svod
Unforgettable,151,175,ios,se,svod
Buffy the Vampire Slayer,149,183,ios,se,svod
Svartsjön,147,151,pcdash,se,svod
Adventure Time,147,197,ios,dk,svod
Last Man on Earth,146,204,pcdash,se,svod
Brickleberry,145,207,chromecast,dk,svod
Winx Club,145,178,ios,se,svod
The Incredibles,143,143,ios,dk,svod
Den utrolige historie om den kæmpestore pære,142,143,ios,dk,svod
Game Shakers,141,169,ios,se,svod
Angel,141,165,pcdash,dk,svod
Golf,141,142,ios,se,svod
Better Things,140,166,ios,se,svod
Bubble Guppies,140,173,ios,se,svod
The Snowman,140,141,atv,se,svod
The Big Bang Theory,138,140,ios,se,svod
School of Rock,138,175,ios,se,svod
Tinker Bell and the Lost Treasure,137,137,atv,se,svod
"Go, Diego! Go!",136,169,ios,se,svod
Luksusfellen,134,150,atv,no,svod
Formula 1 Live,134,136,ios,se,svod
The Royals,134,144,ios,se,svod
MLB live,134,136,pcdash,se,svod
The Night Shift,129,167,ios,dk,svod
MasterChef - Danmarks største madtalenter,126,150,pcdash,dk,svod
Darts Live,122,123,pcdash,dk,svod
The Loud House,121,140,ios,dk,svod
Hunter Street,119,147,ios,dk,svod
100 Things To Do Before High School,118,140,ios,dk,svod
We Bare Bears,118,146,ios,dk,svod
Ninjago: Masters of Spinjitzu,117,130,ios,se,svod
Barncancergalan - Det svenska humorpriset 2018,114,114,ios,se,svod
Cars 3,114,115,atv,se,svod
My Name Is Earl,112,165,ps4xdk,se,svod
Gone,111,123,atv,se,svod
Angry Birds Toons,110,252,androiddash,se,svod
TV3 Dokumentär,109,112,chromecast,se,svod
Børnelokkerne,108,113,ios,dk,svod
Tinker Bell and the Great Fairy Rescue,105,105,ios,se,svod
My Little Pony: Friendship is Magic,104,115,ios,se,svod
Lie to Me,103,127,chromecast,dk,svod
Valor,100,110,ios,se,svod
The Backyardigans,100,126,ios,se,svod
Tree Fu Tom,99,116,chromecast,dk,svod
Sofia the First,98,110,ios,se,svod
Adventures of Chuck & Friends,98,116,chromecast,se,svod
Ice Age: Dawn Of The Dinosaurs,96,96,ios,dk,svod
Jigsaw,95,95,ps4xdk,dk,svod
The Emoji Movie,95,95,ios,dk,svod
The Powerpuff Girls,93,132,ios,dk,svod
